ticker,report_type,filing_date,filename,filing_id,Label_T5,Label_T10,Label_T20
COST,10-Q,2016-03-09,COST_10-Q_0000909832-16-000023.txt,0000909832-16-000023,0.0,0.0,0.0
COST,10-Q,2016-06-01,COST_10-Q_0000909832-16-000028.txt,0000909832-16-000028,0.0,1.0,1.0
COST,10-K,2016-10-12,COST_10-K_0000909832-16-000032.txt,0000909832-16-000032,0.0,0.0,-1.0
COST,10-Q,2016-12-16,COST_10-Q_0000909832-16-000040.txt,0000909832-16-000040,1.0,0.0,1.0
COST,10-Q,2017-03-09,COST_10-Q_0000909832-17-000004.txt,0000909832-17-000004,0.0,0.0,1.0
COST,10-Q,2017-06-01,COST_10-Q_0000909832-17-000009.txt,0000909832-17-000009,0.0,0.0,-1.0
COST,10-K,2017-10-18,COST_10-K_0000909832-17-000014.txt,0000909832-17-000014,1.0,1.0,1.0
COST,10-Q,2017-12-21,COST_10-Q_0000909832-17-000022.txt,0000909832-17-000022,0.0,0.0,1.0
COST,10-Q,2018-03-15,COST_10-Q_0000909832-18-000002.txt,0000909832-18-000002,-1.0,1.0,1.0
COST,10-Q,2018-06-07,COST_10-Q_0000909832-18-000008.txt,0000909832-18-000008,1.0,1.0,1.0
COST,10-K,2018-10-26,COST_10-K_0000909832-18-000013.txt,0000909832-18-000013,1.0,1.0,0.0
COST,10-Q,2018-12-20,COST_10-Q_0000909832-18-000022.txt,0000909832-18-000022,0.0,1.0,1.0
COST,10-Q,2019-03-13,COST_10-Q_0000909832-19-000003.txt,0000909832-19-000003,0.0,1.0,1.0
COST,10-Q,2019-06-06,COST_10-Q_0000909832-19-000013.txt,0000909832-19-000013,1.0,1.0,1.0
COST,10-K,2019-10-11,COST_10-K_0000909832-19-000019.txt,0000909832-19-000019,1.0,0.0,1.0
COST,10-Q,2019-12-23,COST_10-Q_0000909832-19-000033.txt,0000909832-19-000033,0.0,0.0,1.0
COST,10-Q,2020-03-12,COST_10-Q_0000909832-20-000004.txt,0000909832-20-000004,1.0,1.0,1.0
COST,10-Q,2020-06-04,COST_10-Q_0000909832-20-000009.txt,0000909832-20-000009,-1.0,-1.0,-1.0
COST,10-K,2020-10-07,COST_10-K_0000909832-20-000017.txt,0000909832-20-000017,1.0,1.0,1.0
COST,10-Q,2020-12-16,COST_10-Q_0000909832-20-000026.txt,0000909832-20-000026,-1.0,1.0,-1.0
COST,10-Q,2021-03-10,COST_10-Q_0000909832-21-000003.txt,0000909832-21-000003,1.0,1.0,1.0
COST,10-Q,2021-06-03,COST_10-Q_0000909832-21-000008.txt,0000909832-21-000008,0.0,0.0,1.0
COST,10-K,2021-10-06,COST_10-K_0000909832-21-000014.txt,0000909832-21-000014,0.0,1.0,1.0
COST,10-Q,2021-12-22,COST_10-Q_0000909832-21-000021.txt,0000909832-21-000021,1.0,0.0,-1.0
COST,10-Q,2022-03-10,COST_10-Q_0000909832-22-000005.txt,0000909832-22-000005,1.0,1.0,1.0
COST,10-Q,2022-06-02,COST_10-Q_0000909832-22-000014.txt,0000909832-22-000014,0.0,-1.0,0.0
COST,10-K,2022-10-05,COST_10-K_0000909832-22-000021.txt,0000909832-22-000021,-1.0,0.0,0.0
COST,10-Q,2022-12-29,COST_10-Q_0000909832-22-000035.txt,0000909832-22-000035,1.0,1.0,1.0
COST,10-Q,2023-03-09,COST_10-Q_0000909832-23-000014.txt,0000909832-23-000014,1.0,1.0,1.0
COST,10-Q,2023-06-01,COST_10-Q_0000909832-23-000028.txt,0000909832-23-000028,1.0,1.0,1.0
COST,10-K,2023-10-11,COST_10-K_0000909832-23-000042.txt,0000909832-23-000042,1.0,-1.0,0.0
COST,10-Q,2023-12-20,COST_10-Q_0000909832-23-000065.txt,0000909832-23-000065,1.0,0.0,1.0
COST,10-Q,2024-03-13,COST_10-Q_0000909832-24-000017.txt,0000909832-24-000017,0.0,0.0,0.0
COST,10-Q,2024-06-06,COST_10-Q_0000909832-24-000029.txt,0000909832-24-000029,0.0,0.0,1.0
COST,10-K,2024-10-09,COST_10-K_0000909832-24-000049.txt,0000909832-24-000049,-1.0,0.0,0.0
COST,10-Q,2024-12-19,COST_10-Q_0000909832-24-000079.txt,0000909832-24-000079,-1.0,-1.0,0.0
COST,10-Q,2025-03-13,COST_10-Q_0000909832-25-000015.txt,0000909832-25-000015,0.0,1.0,1.0
COST,10-Q,2025-06-05,COST_10-Q_0000909832-25-000033.txt,0000909832-25-000033,0.0,-1.0,-1.0
COST,10-K,2025-10-08,COST_10-K_0000909832-25-000101.txt,0000909832-25-000101,1.0,1.0,1.0
ACN,10-Q,2016-03-24,ACN_10-Q_0001467373-16-000774.txt,0001467373-16-000774,1.0,0.0,0.0
ACN,10-Q,2016-06-23,ACN_10-Q_0001467373-16-000915.txt,0001467373-16-000915,-1.0,-1.0,-1.0
ACN,10-K,2016-10-28,ACN_10-K_0001467373-16-001080.txt,0001467373-16-001080,1.0,1.0,1.0
ACN,10-Q,2016-12-21,ACN_10-Q_0001467373-16-001180.txt,0001467373-16-001180,0.0,0.0,-1.0
ACN,10-Q,2017-03-23,ACN_10-Q_0001467373-17-000154.txt,0001467373-17-000154,0.0,-1.0,0.0
ACN,10-Q,2017-06-22,ACN_10-Q_0001467373-17-000277.txt,0001467373-17-000277,0.0,1.0,1.0
ACN,10-K,2017-10-26,ACN_10-K_0001467373-17-000430.txt,0001467373-17-000430,1.0,1.0,1.0
ACN,10-Q,2017-12-21,ACN_10-Q_0001467373-17-000506.txt,0001467373-17-000506,-1.0,1.0,1.0
ACN,10-Q,2018-03-22,ACN_10-Q_0001467373-18-000142.txt,0001467373-18-000142,1.0,0.0,1.0
ACN,10-Q,2018-06-28,ACN_10-Q_0001467373-18-000228.txt,0001467373-18-000228,0.0,1.0,0.0
ACN,10-K,2018-10-24,ACN_10-K_0001467373-18-000318.txt,0001467373-18-000318,1.0,1.0,1.0
ACN,10-Q,2018-12-20,ACN_10-Q_0001467373-18-000424.txt,0001467373-18-000424,-1.0,0.0,1.0
ACN,10-Q,2019-03-28,ACN_10-Q_0001467373-19-000130.txt,0001467373-19-000130,0.0,1.0,1.0
ACN,10-Q,2019-06-27,ACN_10-Q_0001467373-19-000217.txt,0001467373-19-000217,1.0,1.0,1.0
ACN,10-K,2019-10-29,ACN_10-K_0001467373-19-000339.txt,0001467373-19-000339,0.0,1.0,1.0
ACN,10-Q,2019-12-19,ACN_10-Q_0001467373-19-000395.txt,0001467373-19-000395,1.0,0.0,1.0
ACN,10-Q,2020-03-19,ACN_10-Q_0001467373-20-000158.txt,0001467373-20-000158,1.0,0.0,1.0
ACN,10-Q,2020-06-25,ACN_10-Q_0001467373-20-000251.txt,0001467373-20-000251,0.0,0.0,0.0
ACN,10-K,2020-10-22,ACN_10-K_0001467373-20-000376.txt,0001467373-20-000376,-1.0,1.0,1.0
ACN,10-Q,2020-12-17,ACN_10-Q_0001467373-20-000431.txt,0001467373-20-000431,-1.0,-1.0,-1.0
ACN,10-Q,2021-03-18,ACN_10-Q_0001467373-21-000106.txt,0001467373-21-000106,0.0,1.0,1.0
ACN,10-Q,2021-06-24,ACN_10-Q_0001467373-21-000161.txt,0001467373-21-000161,1.0,1.0,1.0
ACN,10-K,2021-10-15,ACN_10-K_0001467373-21-000229.txt,0001467373-21-000229,1.0,1.0,1.0
ACN,10-Q,2021-12-16,ACN_10-Q_0001467373-21-000297.txt,0001467373-21-000297,0.0,1.0,-1.0
ACN,10-Q,2022-03-17,ACN_10-Q_0001467373-22-000144.txt,0001467373-22-000144,0.0,1.0,0.0
ACN,10-Q,2022-06-23,ACN_10-Q_0001467373-22-000201.txt,0001467373-22-000201,-1.0,0.0,0.0
