ticker,entry_date,exit_date,return,days_held,allocated,strategy
NKE,2023-01-05,2023-02-06,0.027852546342951732,20,2000.0,Strategy A (all UP)
ADBE,2023-01-17,2023-02-15,0.08766408356868043,20,1600.0,Strategy A (all UP)
PG,2023-01-19,2023-02-17,-0.04126134422909036,20,1280.0,Strategy A (all UP)
MSFT,2023-01-24,2023-02-23,0.09163106241987107,20,1024.0,Strategy A (all UP)
NFLX,2023-01-26,2023-02-27,-0.10928740887316236,20,819.2,Strategy A (all UP)
V,2023-01-27,2023-02-28,-0.04343748032042247,20,546.1333333333333,Strategy A (all UP)
TSLA,2023-01-31,2023-03-02,0.07289732675035368,20,390.09523809523813,Strategy A (all UP)
GOOGL,2023-02-03,2023-03-07,-0.07346074626328415,20,292.5714285714286,Strategy A (all UP)
AMZN,2023-02-03,2023-03-07,-0.08717509686469897,20,227.5555555555556,Strategy A (all UP)
CMCSA,2023-02-03,2023-03-07,-0.06370528473500385,20,182.04444444444448,Strategy A (all UP)
PEP,2023-02-09,2023-03-13,0.0036640702047416405,20,369.4105092685903,Strategy A (all UP)
VZ,2023-02-10,2023-03-14,-0.0847291143864355,20,302.2449621288466,Strategy A (all UP)
PM,2023-02-10,2023-03-14,-0.050615590489897284,20,251.87080177403888,Strategy A (all UP)
ABT,2023-02-17,2023-03-21,-0.07355559679813178,20,521.6388029646437,Strategy A (all UP)
UPS,2023-02-21,2023-03-22,0.04457930521740612,20,434.69900247053647,Strategy A (all UP)
UNH,2023-02-24,2023-03-27,-0.004049700389485607,20,491.6266029244874,Strategy A (all UP)
CRM,2023-03-08,2023-04-06,0.05853044556667134,20,1103.964534956153,Strategy A (all UP)
ACN,2023-03-23,2023-04-24,0.022786279753079612,20,1689.5312846199436,Strategy A (all UP)
NKE,2023-04-06,2023-05-08,0.06572233515863408,20,1683.2681744071715,Strategy A (all UP)
NFLX,2023-04-21,2023-05-22,0.10548088405781196,20,1346.6145395257372,Strategy A (all UP)
PG,2023-04-21,2023-05-22,-0.018523677627765144,20,1077.2916316205897,Strategy A (all UP)
TSLA,2023-04-24,2023-05-23,0.16406062079266265,20,1207.4391887210465,Strategy A (all UP)
MSFT,2023-04-25,2023-05-24,0.06208744036655919,20,965.951350976837,Strategy A (all UP)
RTX,2023-04-25,2023-05-24,-0.0618492946929287,20,643.9675673178914,Strategy A (all UP)
DHR,2023-04-25,2023-05-24,-0.016171990060021527,20,459.97683379849383,Strategy A (all UP)
NEE,2023-04-26,2023-05-25,-0.0027493853109307105,20,344.9826253488704,Strategy A (all UP)
TXN,2023-04-26,2023-05-25,0.020756082622393545,20,268.31981971578807,Strategy A (all UP)
GOOGL,2023-04-26,2023-05-25,0.1911493232498537,20,214.65585577263045,Strategy A (all UP)
KO,2023-04-26,2023-05-25,-0.0491662228463661,20,175.62751835942493,Strategy A (all UP)
PM,2023-04-26,2023-05-25,-0.06394075436715069,20,146.35626529952074,Strategy A (all UP)
MA,2023-04-27,2023-05-26,-0.005107200816830722,20,123.83991679190217,Strategy A (all UP)
HON,2023-04-27,2023-05-26,-0.027173582254484407,20,106.14850010734472,Strategy A (all UP)
BMY,2023-04-27,2023-05-26,-0.040171951497401784,20,91.99536675969875,Strategy A (all UP)
LIN,2023-04-27,2023-05-26,-0.024274977226560464,20,80.49594591473641,Strategy A (all UP)
CMCSA,2023-04-27,2023-05-26,-0.020230698267140024,20,71.02583463064977,Strategy A (all UP)
VZ,2023-04-27,2023-05-26,-0.0974730252113904,20,63.13407522724424,Strategy A (all UP)
V,2023-04-27,2023-05-26,-0.020215774584016605,20,56.48838309806064,Strategy A (all UP)
BAC,2023-05-01,2023-05-31,-0.02699668457373305,20,50.83954478825457,Strategy A (all UP)
UPS,2023-05-03,2023-06-02,-0.02488182819736002,20,45.99768337984937,Strategy A (all UP)
MCD,2023-05-04,2023-06-05,-0.0153034738310385,20,41.816075799863064,Strategy A (all UP)
TMO,2023-05-05,2023-06-06,-0.050959172457315335,20,38.179895295527146,Strategy A (all UP)
AAPL,2023-05-05,2023-06-06,0.043868752616192094,20,34.99823735423322,Strategy A (all UP)
BRK-B,2023-05-08,2023-06-07,0.0271343761683516,20,108.28566452811607,Strategy A (all UP)
PFE,2023-05-10,2023-06-09,0.043680800730569236,20,99.62281136586678,Strategy A (all UP)
HD,2023-05-23,2023-06-23,0.01619086935293675,20,275.7596845538343,Strategy A (all UP)
COST,2023-06-01,2023-07-03,0.051770644900057235,20,1243.9514312873068,Strategy A (all UP)
WMT,2023-06-02,2023-07-05,0.057847326200569205,20,1094.0641494919578,Strategy A (all UP)
ACN,2023-06-22,2023-07-24,0.051435511989274665,20,1597.5182761679514,Strategy A (all UP)
ADBE,2023-06-28,2023-07-28,0.06290486795275095,20,1334.0595156502116,Strategy A (all UP)
PEP,2023-07-13,2023-08-11,-0.021547358923230696,20,1560.3884993884428,Strategy A (all UP)
NFLX,2023-07-21,2023-08-21,-0.05457648064108456,20,1248.3107995107541,Strategy A (all UP)
TSLA,2023-07-24,2023-08-22,-0.11896021846991288,20,1334.586128931578,Strategy A (all UP)
NEE,2023-07-26,2023-08-24,-0.0828230319062097,20,1067.6689031452624,Strategy A (all UP)
V,2023-07-26,2023-08-24,0.021262296849884798,20,711.7792687635083,Strategy A (all UP)
TXN,2023-07-26,2023-08-24,-0.03254692068627178,20,508.41376340250594,Strategy A (all UP)
CMCSA,2023-07-27,2023-08-25,-0.012993006160640898,20,381.31032255187944,Strategy A (all UP)
MSFT,2023-07-27,2023-08-25,-0.035523175467125384,20,296.5746953181285,Strategy A (all UP)
