quarter,n_filings,accuracy,fp_rate
2023Q1,39.0,0.5384615384615384,0.28205128205128205
2023Q2,40.0,0.425,0.4
2023Q3,37.0,0.4594594594594595,0.5405405405405406
2023Q4,38.0,0.7894736842105263,0.07894736842105263
2024Q1,40.0,0.375,0.25
2024Q2,34.0,0.6470588235294118,0.20588235294117646
2024Q3,29.0,0.6896551724137931,0.1724137931034483
2024Q4,37.0,0.4594594594594595,0.40540540540540543
2025Q1,42.0,0.5476190476190477,0.23809523809523808
2025Q2,35.0,0.6571428571428571,0.2
2025Q3,29.0,0.7931034482758621,0.10344827586206896
2025Q4,30.0,0.43333333333333335,0.4
