ticker,n_filings,accuracy,fp_count,fn_count,sector
ABBV,3,0.0,0,3,Healthcare
ABT,2,0.0,2,0,Healthcare
CSCO,8,0.25,0,6,Other
PM,11,0.2727272727272727,4,4,Other
AVGO,7,0.2857142857142857,1,4,Technology
AMZN,10,0.3,2,5,Consumer
XOM,3,0.3333333333333333,0,2,Energy
NEE,10,0.4,4,2,Utilities
AMD,10,0.4,0,6,Technology
WMT,10,0.4,4,2,Consumer
INTC,7,0.42857142857142855,0,4,Technology
HON,9,0.4444444444444444,4,1,Industrials
GOOGL,9,0.4444444444444444,5,0,Technology
KO,9,0.4444444444444444,3,2,Other
BMY,9,0.4444444444444444,3,2,Other
MSFT,12,0.5,6,0,Technology
UNH,10,0.5,5,0,Healthcare
TMO,10,0.5,5,0,Healthcare
PFE,10,0.5,5,0,Healthcare
JNJ,2,0.5,0,1,Healthcare
NVDA,10,0.5,1,4,Technology
META,10,0.5,0,5,Technology
MCD,10,0.5,5,0,Consumer
LLY,8,0.5,0,4,Healthcare
TXN,9,0.5555555555555556,3,1,Technology
PEP,9,0.5555555555555556,4,0,Other
ACN,7,0.5714285714285714,3,0,Other
COST,7,0.5714285714285714,2,1,Consumer
DHR,7,0.5714285714285714,2,1,Other
PG,10,0.6,3,1,Other
UPS,10,0.6,4,0,Industrials
HD,8,0.625,2,1,Consumer
V,11,0.6363636363636364,4,0,Financials
DIS,11,0.6363636363636364,3,1,Other
AAPL,11,0.6363636363636364,0,4,Technology
BAC,11,0.6363636363636364,3,1,Financials
RTX,6,0.6666666666666666,2,0,Industrials
NFLX,10,0.7,3,0,Other
CMCSA,10,0.7,3,0,Other
TSLA,10,0.7,3,0,Consumer
LIN,10,0.7,3,0,Materials
VZ,7,0.7142857142857143,2,0,Other
ADBE,9,0.7777777777777778,2,0,Other
CRM,9,0.7777777777777778,2,0,Technology
BRK-B,10,0.8,2,0,Financials
MA,10,0.8,2,0,Financials
CVX,5,0.8,0,1,Energy
NKE,10,0.8,2,0,Consumer
JPM,11,0.8181818181818182,1,1,Financials
MRK,3,1.0,0,0,Healthcare
