ticker,filing_date,mean_prob_up,max_prob_up,min_prob_up,std_prob_up,n_chunks,true_label
AAPL,2023-02-03,0.4986857,0.5456457,0.4600342,0.025117574,12,1
AAPL,2023-05-05,0.5178578,0.5755624,0.4599651,0.03753642,13,1
AAPL,2023-08-04,0.5137721,0.5706522,0.4591086,0.037321683,13,1
AAPL,2023-11-03,0.49774435,0.58359176,0.46167964,0.022042276,44,1
AAPL,2024-02-02,0.5038629,0.56438804,0.4616678,0.038417466,13,0
AAPL,2024-05-03,0.5172346,0.6006294,0.46104854,0.04603582,15,1
AAPL,2024-08-02,0.5228166,0.59934753,0.46039566,0.044628177,13,1
AAPL,2024-11-01,0.50044346,0.5989674,0.46483603,0.02648159,45,1
AAPL,2025-01-31,0.5079182,0.5877547,0.46321258,0.0392865,16,0
AAPL,2025-08-01,0.52680075,0.59120417,0.46072853,0.04539704,14,1
AAPL,2025-10-31,0.5013605,0.5873423,0.46764138,0.027622301,46,1
ABBV,2023-02-17,0.50593686,0.6079735,0.46551785,0.03308496,69,1
ABBV,2024-02-20,0.50477976,0.6096658,0.43694144,0.030666117,70,1
ABBV,2025-02-14,0.5077427,0.6254892,0.47166196,0.03395693,69,1
ABT,2023-02-17,0.5072542,0.5817533,0.44055465,0.027168244,56,0
ABT,2025-02-21,0.50769585,0.5756896,0.44121847,0.02556087,56,0
ACN,2023-03-23,0.53417116,0.6146498,0.44265258,0.03416426,33,1
ACN,2023-06-22,0.53624785,0.62356126,0.44265258,0.037639014,34,1
ACN,2023-12-19,0.52673995,0.5967654,0.44290876,0.033057958,26,1
ACN,2024-03-21,0.53151727,0.5936656,0.44290876,0.03600156,30,0
ACN,2024-06-20,0.52886844,0.59004307,0.44290876,0.030350687,30,1
ACN,2025-03-20,0.5220916,0.58393687,0.48620623,0.025109751,43,0
ACN,2025-10-10,0.50930566,0.59117204,0.46972823,0.02440442,72,0
ADBE,2023-01-17,0.5113934,0.61067903,0.47593412,0.031364076,66,1
ADBE,2023-06-28,0.50954545,0.60107905,0.46454188,0.026067559,95,1
ADBE,2023-09-27,0.509417,0.6096472,0.46454188,0.027708912,96,1
ADBE,2024-01-17,0.51171225,0.5965072,0.45411596,0.031450126,60,1
ADBE,2024-03-27,0.50930446,0.6029305,0.4745876,0.027208533,84,0
ADBE,2024-09-25,0.51064426,0.61630076,0.43937883,0.02867258,87,0
ADBE,2025-01-13,0.5231529,0.6454659,0.44202936,0.040015582,166,1
ADBE,2025-03-26,0.5069492,0.5866849,0.47946742,0.024506167,84,0
ADBE,2025-06-25,0.50893694,0.61078465,0.47598308,0.027333187,86,0
AMD,2023-02-27,0.50233144,0.5939509,0.46695843,0.02332415,79,1
AMD,2023-05-03,0.50060177,0.5794223,0.46821573,0.019838301,67,1
AMD,2023-08-02,0.5014853,0.56877047,0.4658463,0.021080783,69,0
AMD,2023-11-01,0.50126,0.5799323,0.46633053,0.021395983,71,1
AMD,2024-01-31,0.50250053,0.58232856,0.46140555,0.021981426,81,1
AMD,2024-05-01,0.4997591,0.6150825,0.46854112,0.024179468,68,1
AMD,2024-10-30,0.49964777,0.6072795,0.47031432,0.022990083,75,0
AMD,2025-02-05,0.49772993,0.5724811,0.46935156,0.020434927,78,0
AMD,2025-05-07,0.49929473,0.591263,0.46941712,0.019393979,75,1
AMD,2025-11-05,0.5022107,0.6069825,0.46820566,0.023961807,78,0
AMZN,2023-02-03,0.51177603,0.57308704,0.47991297,0.024140744,58,0
AMZN,2023-04-28,0.50633126,0.5911316,0.48313513,0.02133487,76,1
AMZN,2023-10-27,0.5081217,0.58597547,0.48079452,0.022581872,80,1
AMZN,2024-02-02,0.51139325,0.57552826,0.47373497,0.025677908,59,1
AMZN,2024-08-02,0.50605935,0.59381944,0.4794661,0.024114735,82,1
AMZN,2024-11-01,0.50561064,0.59131116,0.4789829,0.023085432,82,1
AMZN,2025-02-07,0.50895333,0.5738532,0.4713217,0.023442423,60,0
AMZN,2025-05-02,0.5029783,0.5618813,0.47716683,0.021397779,78,1
AMZN,2025-08-01,0.5038981,0.57625747,0.47716683,0.021865215,81,1
AMZN,2025-10-31,0.5047921,0.56655335,0.47716683,0.022092128,82,0
AVGO,2023-06-07,0.50731766,0.6410019,0.47397766,0.028832648,68,1
AVGO,2023-09-06,0.5082949,0.6361927,0.47382933,0.02637983,68,0
AVGO,2024-03-14,0.5059253,0.63721675,0.4757804,0.027635539,68,1
AVGO,2024-09-11,0.5058057,0.60255057,0.47486535,0.02523738,70,1
AVGO,2024-12-20,0.5040762,0.61081445,0.470847,0.025514795,67,1
AVGO,2025-03-12,0.50127184,0.60249335,0.4093249,0.026366193,56,0
AVGO,2025-06-11,0.50856245,0.60483587,0.46910268,0.027784152,60,1
BAC,2023-02-22,0.51321054,0.61928546,0.4499253,0.040985238,210,0
BAC,2023-05-01,0.539885,0.62621677,0.45654118,0.039403602,228,0
BAC,2023-07-31,0.5439558,0.64526,0.45989648,0.03946233,263,0
BAC,2023-10-31,0.5457669,0.64415246,0.43351796,0.040819585,262,1
BAC,2024-02-20,0.51246715,0.63135004,0.4500534,0.03963156,211,1
BAC,2024-04-30,0.53955746,0.63950723,0.46019125,0.039485812,223,1
BAC,2024-07-30,0.5451642,0.63150585,0.45368364,0.040857647,256,0
BAC,2024-10-29,0.5431915,0.6417716,0.4568123,0.040391166,258,1
BAC,2025-02-25,0.5117765,0.6338255,0.410458,0.041597933,206,0
BAC,2025-04-30,0.5407669,0.63691145,0.45449537,0.038935184,219,1
BAC,2025-07-31,0.5459225,0.6361584,0.4563416,0.039809242,254,1
BMY,2023-02-14,0.5025305,0.63372475,0.44687608,0.034325548,87,0
BMY,2023-04-27,0.51795304,0.6155195,0.44051176,0.04284583,30,0
BMY,2023-10-26,0.5172954,0.63415545,0.44197157,0.05145606,40,0
BMY,2024-02-13,0.50472015,0.6473388,0.43864307,0.034502815,93,1
BMY,2024-04-25,0.5141026,0.62519014,0.43365803,0.045280103,38,0
BMY,2024-10-31,0.5216546,0.63476825,0.43230093,0.053290717,44,1
BMY,2025-02-12,0.5023889,0.6469643,0.44069126,0.03438005,98,1
BMY,2025-07-31,0.5230024,0.6150304,0.45369294,0.045969248,41,1
BMY,2025-10-30,0.5213655,0.6116135,0.44093293,0.05133667,40,1
BRK-B,2023-05-08,0.5142979,0.5856423,0.4490271,0.031667788,41,1
BRK-B,2023-08-07,0.51883686,0.57561296,0.45293164,0.026845286,48,1
BRK-B,2024-02-26,0.5120444,0.58454084,0.46775562,0.023200976,75,0
BRK-B,2024-05-06,0.5118014,0.56711006,0.4523742,0.024555871,37,1
BRK-B,2024-08-05,0.5191428,0.5783388,0.4523077,0.030016085,42,1
BRK-B,2024-11-04,0.51803166,0.5903189,0.44670048,0.03349507,44,1
BRK-B,2025-02-24,0.5153984,0.5676076,0.46570244,0.022723846,72,1
BRK-B,2025-05-05,0.5145193,0.56536245,0.44838202,0.02793462,34,0
BRK-B,2025-08-04,0.5120653,0.5751005,0.44673935,0.029679036,40,1
BRK-B,2025-11-03,0.515302,0.57703316,0.45272824,0.029633734,42,1
CMCSA,2023-02-03,0.51343834,0.58044696,0.47201884,0.028193774,70,0
CMCSA,2023-04-27,0.52329063,0.59105563,0.463461,0.033207934,32,1
CMCSA,2023-07-27,0.5265685,0.59873784,0.45922723,0.038792554,38,1
CMCSA,2023-10-26,0.53394645,0.6199916,0.463461,0.039891724,40,1
CMCSA,2024-01-31,0.51889884,0.6086325,0.4677384,0.031494364,73,0
CMCSA,2024-07-23,0.5256398,0.5911651,0.46316943,0.0347729,33,1
CMCSA,2024-10-31,0.53502697,0.60641915,0.463461,0.040055625,36,0
CMCSA,2025-01-31,0.51318556,0.5758126,0.46838066,0.02779698,66,1
CMCSA,2025-04-24,0.52010363,0.56455463,0.463461,0.031043077,28,1
CMCSA,2025-10-30,0.528459,0.6141472,0.463461,0.039006263,38,1
COST,2023-06-01,0.51681006,0.58227205,0.46638668,0.0336206,22,1
COST,2023-12-20,0.5186951,0.5755078,0.46752387,0.033122156,18,1
COST,2024-06-06,0.5226229,0.58649915,0.46752387,0.03511039,21,1
COST,2024-12-19,0.51640224,0.5968054,0.4672195,0.03198646,18,0
COST,2025-03-13,0.5187537,0.5650373,0.4672195,0.029693935,21,1
COST,2025-06-05,0.5172882,0.5666323,0.4672195,0.029096108,21,0
COST,2025-10-08,0.5036282,0.5674648,0.47078207,0.02108951,37,1
CRM,2023-03-08,0.5056955,0.59811753,0.47207218,0.024399422,97,1
CRM,2023-08-31,0.50686914,0.62711024,0.4728325,0.026805587,94,0
CRM,2023-11-30,0.5058048,0.614395,0.46901774,0.022777054,95,1
CRM,2024-03-06,0.5050709,0.6035732,0.47271398,0.024425752,94,0
CRM,2024-05-30,0.5062447,0.612022,0.4728325,0.025091209,90,1
CRM,2024-08-29,0.50629693,0.6040103,0.4728325,0.025220519,92,1
CRM,2024-12-04,0.5080438,0.6073022,0.4728325,0.026133727,93,0
CRM,2025-03-05,0.5069877,0.60095346,0.47086087,0.027679661,90,0
CRM,2025-05-29,0.50814056,0.6163164,0.4728325,0.025021814,85,1
CSCO,2023-05-24,0.5104726,0.643335,0.47143763,0.03464039,129,1
CSCO,2023-09-07,0.5132367,0.6369007,0.46462184,0.03816632,82,0
CSCO,2023-11-21,0.5059714,0.6203651,0.47517294,0.030193714,121,1
CSCO,2024-02-20,0.510127,0.60396445,0.46722415,0.034316704,128,1
CSCO,2024-09-05,0.5156738,0.6302056,0.4742104,0.03661664,85,1
CSCO,2024-11-19,0.5044156,0.62167317,0.46399775,0.027284965,120,1
CSCO,2025-02-18,0.5085035,0.6211204,0.46477088,0.033194315,126,0
CSCO,2025-05-20,0.5061326,0.6159247,0.46523395,0.029288793,127,1
CVX,2023-02-23,0.48483598,0.5066902,0.44155318,0.01645184,19,0
CVX,2023-08-03,0.5138559,0.60541624,0.4529718,0.03896637,31,1
CVX,2024-05-02,0.50861996,0.606211,0.4530871,0.037574675,29,1
CVX,2025-02-21,0.48317465,0.5010434,0.44155318,0.014616646,21,1
CVX,2025-05-08,0.5113828,0.5954834,0.4530172,0.037125807,31,1
DHR,2023-02-22,0.5019552,0.5922986,0.45148617,0.021555915,96,0
DHR,2023-04-25,0.5119081,0.58469725,0.44938773,0.03149625,36,0
DHR,2023-10-24,0.5108604,0.6085412,0.4625449,0.028656768,44,1
DHR,2024-02-21,0.5010479,0.5835138,0.45205328,0.019563843,89,1
DHR,2024-04-23,0.5067127,0.620085,0.45258835,0.034663696,30,1
DHR,2024-10-22,0.5183838,0.57937753,0.45258835,0.0328426,37,0
DHR,2025-07-22,0.505748,0.571177,0.45173234,0.026625011,41,1
DIS,2023-02-08,0.4942344,0.5322455,0.46349728,0.022925353,7,0
DIS,2023-05-10,0.4907548,0.51832986,0.4633567,0.017009849,11,0
DIS,2023-08-09,0.48926315,0.510483,0.46322742,0.013414182,11,0
DIS,2023-11-21,0.5301468,0.63923657,0.4632761,0.046286102,94,0
DIS,2024-02-07,0.4891966,0.51028526,0.4638853,0.022574717,4,1
DIS,2024-05-07,0.48979682,0.5133018,0.4636074,0.02371027,4,0
DIS,2024-11-14,0.51458883,0.6334538,0.46306914,0.04071577,73,1
DIS,2025-02-05,0.5271111,0.62910795,0.45864046,0.047368333,44,0
DIS,2025-05-07,0.52834594,0.63007784,0.4589502,0.044038262,75,1
DIS,2025-08-06,0.5311197,0.64258015,0.4297384,0.048288204,77,1
DIS,2025-11-13,0.5104732,0.6083748,0.4594565,0.038052008,72,1
GOOGL,2023-02-03,0.5113809,0.6102637,0.47335804,0.032115158,69,0
GOOGL,2023-04-26,0.53303355,0.6113817,0.47074425,0.039499372,26,1
GOOGL,2023-10-25,0.5294882,0.61900496,0.47074425,0.037062842,33,1
GOOGL,2024-01-31,0.51144093,0.6134265,0.4640903,0.03148104,73,0
GOOGL,2024-07-24,0.53619033,0.61820847,0.46647182,0.04550197,31,0
GOOGL,2024-10-30,0.53674185,0.6217761,0.46647182,0.044378795,32,0
GOOGL,2025-02-05,0.5117202,0.6112379,0.4712614,0.03123579,75,0
GOOGL,2025-07-24,0.5388791,0.62699634,0.46031532,0.048451155,30,1
GOOGL,2025-10-30,0.54261243,0.62119645,0.45932892,0.048381586,30,1
HD,2023-03-15,0.5071447,0.61901647,0.47091234,0.029643714,51,1
HD,2023-05-23,0.5459662,0.5864733,0.49502954,0.030145504,15,1
HD,2023-08-22,0.5494542,0.63458365,0.49502954,0.040408928,19,0
HD,2023-11-21,0.5448127,0.62245125,0.49502954,0.035874087,19,1
HD,2024-03-13,0.50007457,0.55725986,0.46958825,0.022194374,49,0
HD,2024-05-21,0.5130374,0.545413,0.4612673,0.023501143,15,1
HD,2024-08-20,0.5226366,0.5846893,0.46139756,0.029445417,21,1
HD,2024-11-19,0.51624155,0.5501612,0.4614075,0.026870864,21,0
HON,2023-02-10,0.5082379,0.56707734,0.46966395,0.026183395,95,0
HON,2023-04-27,0.5180392,0.59768736,0.4709047,0.034618784,17,0
HON,2023-07-27,0.534108,0.62135637,0.47030964,0.040048867,21,0
HON,2023-10-26,0.52601576,0.5845182,0.47036812,0.033598546,21,1
HON,2024-10-24,0.5188099,0.5976034,0.46956256,0.03554494,26,1
HON,2025-02-14,0.50756466,0.605759,0.46724162,0.0261084,108,1
HON,2025-04-29,0.52929735,0.610728,0.47887027,0.03701819,23,1
HON,2025-07-24,0.52886486,0.59970033,0.4718395,0.039542787,25,0
HON,2025-10-23,0.5239583,0.60907656,0.4788046,0.036518965,30,0
INTC,2023-01-27,0.4977863,0.5506204,0.47010383,0.01389339,105,0
INTC,2023-04-28,0.4914727,0.5072949,0.46305734,0.016052665,6,0
INTC,2023-07-28,0.48788002,0.5042188,0.4626727,0.014277743,6,0
INTC,2023-10-27,0.48820055,0.5042188,0.46318626,0.014256208,6,1
INTC,2024-11-01,0.4907445,0.5047436,0.4785283,0.009403738,6,1
INTC,2025-01-31,0.4982292,0.54425085,0.46508732,0.016047152,68,1
INTC,2025-11-06,0.4899413,0.511601,0.47122085,0.012043269,10,1
JNJ,2023-02-16,0.5076807,0.5935984,0.4576406,0.02836314,58,0
JNJ,2025-02-13,0.50795007,0.5972673,0.43386275,0.029498095,57,1
JPM,2023-02-21,0.4983303,0.53390425,0.46184057,0.0120039405,62,0
JPM,2023-08-03,0.53078103,0.6676385,0.4483084,0.03693409,390,0
JPM,2023-11-01,0.53042173,0.63420063,0.45786455,0.03857382,396,1
JPM,2024-02-16,0.49706784,0.52480805,0.46075815,0.012199609,66,1
JPM,2024-05-01,0.52616876,0.6374633,0.4328301,0.036902167,322,1
JPM,2024-08-02,0.53030103,0.64752275,0.43584907,0.039191194,362,1
JPM,2024-10-30,0.5315611,0.64474666,0.4565485,0.039848752,361,1
JPM,2025-02-14,0.49641782,0.52339804,0.46093512,0.011405724,68,0
JPM,2025-05-01,0.5267254,0.64682037,0.44978616,0.037597615,302,1
JPM,2025-08-05,0.52979946,0.65040493,0.44103622,0.04006294,346,1
JPM,2025-11-04,0.5313745,0.64705306,0.45529997,0.03964337,350,1
KO,2023-02-21,0.5010306,0.5994037,0.4498444,0.027846312,104,1
KO,2023-04-26,0.5003716,0.57408136,0.44715935,0.030842327,34,0
KO,2023-07-27,0.5107408,0.5858366,0.44715935,0.033865314,42,0
KO,2023-10-24,0.5130629,0.6317914,0.44715935,0.038171664,43,1
KO,2024-02-20,0.5021762,0.5900927,0.44787616,0.02908377,100,1
KO,2024-05-02,0.50682974,0.5944081,0.4468361,0.03618263,34,1
KO,2024-07-29,0.51391995,0.63376707,0.4468361,0.03504785,44,1
KO,2024-10-24,0.5051993,0.5808046,0.4468361,0.030260578,46,0
KO,2025-07-24,0.509252,0.58614635,0.44683856,0.032627743,43,1
LIN,2023-04-27,0.5426808,0.6323636,0.47174382,0.03928204,23,0
LIN,2023-07-27,0.5472725,0.6395391,0.47174382,0.041177478,29,0
LIN,2023-10-26,0.55256814,0.64089656,0.47174382,0.04220752,30,1
LIN,2024-02-28,0.51507735,0.6416249,0.45987484,0.035681736,59,1
LIN,2024-05-02,0.54930776,0.6330487,0.47137532,0.03572572,22,1
LIN,2024-08-02,0.54634434,0.6364313,0.47137532,0.040268295,27,1
LIN,2024-10-31,0.55909103,0.6285954,0.47137532,0.04147259,28,1
LIN,2025-05-01,0.5426415,0.6206181,0.47198948,0.038839318,22,1
LIN,2025-08-01,0.55929106,0.6270451,0.47198948,0.042545334,28,1
LIN,2025-10-31,0.5547097,0.65398896,0.47198948,0.043469436,29,0
LLY,2023-04-27,0.50259244,0.58341306,0.46441433,0.02918127,20,1
LLY,2023-08-08,0.5068256,0.5750196,0.45940733,0.027115729,23,1
LLY,2024-02-21,0.49963754,0.5712993,0.4640364,0.01955038,63,1
LLY,2024-04-30,0.4999333,0.5337403,0.47270414,0.018772146,20,1
LLY,2025-02-19,0.4989574,0.5713601,0.4554317,0.019338235,62,0
LLY,2025-05-01,0.50419813,0.5534889,0.46668038,0.026298793,15,0
LLY,2025-08-07,0.50904727,0.5645737,0.47188702,0.030116718,18,1
LLY,2025-10-30,0.5099844,0.56259865,0.46816322,0.032431033,19,1
MA,2023-02-14,0.5104978,0.59499836,0.4652693,0.031004908,73,0
MA,2023-04-27,0.52289253,0.58970636,0.46862555,0.03966697,28,1
MA,2023-07-27,0.52685696,0.599897,0.4650299,0.03733979,36,0
MA,2023-10-26,0.5260041,0.6068884,0.46297058,0.039907604,36,1
MA,2024-02-13,0.5140564,0.6128205,0.46372157,0.03332924,70,1
MA,2024-07-31,0.5276227,0.5961397,0.46373248,0.03850864,29,1
MA,2024-10-31,0.5299508,0.5994144,0.47414893,0.036228597,31,1
MA,2025-02-12,0.5102315,0.603905,0.4682063,0.030992018,68,0
MA,2025-05-01,0.5313962,0.5926807,0.46469948,0.043008182,23,1
MA,2025-07-31,0.529878,0.6017543,0.46433476,0.040196627,28,1
MCD,2023-05-04,0.5205584,0.61043966,0.47179583,0.03356038,41,0
MCD,2023-08-02,0.52168965,0.5941668,0.47202998,0.033177238,46,0
